Topic,Premise,Conclusion,Validity,Confidence
US offshore oil drilling,"The United Statesis suffering a major energy crisis right now, and we should be drilling in as many places as we can manage. Offshore drilling may be a short-term solution to a long-term energy problem, but if countries like China can already drill and drain our nearby coastal regions of oil and gas deposits, there's no reason why we shouldn't save ourselves a few bucks at the gas pump until alternative energy sources are further developed.",Offshore drilling is a cost-effective solution to US energy crisis,0,very confident
US offshore oil drilling,"Offshore oil rigs in the western Gulf of Mexico, one of the exceptions to the ban imposed by Congress, endured Hurricane Katrina without spills.",KSM will almost certainly be convicted in NY civilian courts,0,very confident
US offshore oil drilling,"The United Statesis suffering a major energy crisis right now, and we should be drilling in as many places as we can manage. Offshore drilling may be a short-term solution to a long-term energy problem, but if countries like China can already drill and drain our nearby coastal regions of oil and gas deposits, there's no reason why we shouldn't save ourselves a few bucks at the gas pump until alternative energy sources are further developed.",US oil crisis warrants drastic action and offshore oil drilling,1,very confident
US offshore oil drilling,Opening more of America's coastlines to oil and natural gas drilling won't cut energy prices anytime soon. And it won't greatly reduce the country's dependence on foreign oil. [...] But it could [...] soften the blow of future price spikes.,Offshore oil drilling will lower oil prices,0,very confident
US offshore oil drilling,Opening more of America's coastlines to oil and natural gas drilling won't cut energy prices anytime soon. And it won't greatly reduce the country's dependence on foreign oil. [...] But it could [...] soften the blow of future price spikes.,Offshore oil helps mitigate spikes in oil prices,1,very confident
US offshore oil drilling,"Renewable energy is not yet an adequate alternative to oil. While the transition is made to renewable energy in the long-run, other offshore oil and gas alternatives should be found in the short-to-medium run.",Saddam Hussein would have re-started Iraq's WMD program some-day.,0,very confident
US offshore oil drilling,Opening more of America's coastlines to oil and natural gas drilling won't cut energy prices anytime soon. And it won't greatly reduce the country's dependence on foreign oil. [...] But it could [...] soften the blow of future price spikes.,Animals belong in their natural habitat in the wild.,0,very confident
US offshore oil drilling,"Renewable energy is not yet an adequate alternative to oil. While the transition is made to renewable energy in the long-run, other offshore oil and gas alternatives should be found in the short-to-medium run.",Alternatives to oil and gas are needed in short-term.,1,very confident
US offshore oil drilling,"The United Statesis suffering a major energy crisis right now, and we should be drilling in as many places as we can manage. Offshore drilling may be a short-term solution to a long-term energy problem, but if countries like China can already drill and drain our nearby coastal regions of oil and gas deposits, there's no reason why we shouldn't save ourselves a few bucks at the gas pump until alternative energy sources are further developed.","Demand for water increases with population growth, so it does not respond to market signals in the way other resources do.",0,very confident
US offshore oil drilling,"The United Statesis suffering a major energy crisis right now, and we should be drilling in as many places as we can manage. Offshore drilling may be a short-term solution to a long-term energy problem, but if countries like China can already drill and drain our nearby coastal regions of oil and gas deposits, there's no reason why we shouldn't save ourselves a few bucks at the gas pump until alternative energy sources are further developed.",A comprehensive US energy plan must include offshore drilling,1,very confident
US offshore oil drilling,"The United Statesis suffering a major energy crisis right now, and we should be drilling in as many places as we can manage. Offshore drilling may be a short-term solution to a long-term energy problem, but if countries like China can already drill and drain our nearby coastal regions of oil and gas deposits, there's no reason why we shouldn't save ourselves a few bucks at the gas pump until alternative energy sources are further developed.",US should not drill for oil while suffering energy crisis,0,very confident
US offshore oil drilling,"The fundamental problem is this: there is a finite amount of fossil fuel. The more of it we find and burn, the more carbon we put into the atmosphere, and the more severe the greenhouse effect becomes. Once the carbon is in the atmosphere, it stays there. If we want to limit climate change, what we have to do, one way or another, is to leave fuels in the ground wherever possible, not find and burn them.",Offshore oil drilling releases more greenhouse gases,1,very confident
US offshore oil drilling,"The fundamental problem is this: there is a finite amount of fossil fuel. The more of it we find and burn, the more carbon we put into the atmosphere, and the more severe the greenhouse effect becomes. Once the carbon is in the atmosphere, it stays there. If we want to limit climate change, what we have to do, one way or another, is to leave fuels in the ground wherever possible, not find and burn them.","The more fossil fuels we burn, the more carbon goes into the atmosphere",1,very confident
US offshore oil drilling,"The United Statesis suffering a major energy crisis right now, and we should be drilling in as many places as we can manage. Offshore drilling may be a short-term solution to a long-term energy problem, but if countries like China can already drill and drain our nearby coastal regions of oil and gas deposits, there's no reason why we shouldn't save ourselves a few bucks at the gas pump until alternative energy sources are further developed.",Turkey will not need EU membership to receive investment.,0,very confident
US offshore oil drilling,"Offshore oil production makes economic sense. It creates jobs and helps fulfill America's vast energy needs. It contributes to the gross domestic product and does not increase the trade deficit. Higher oil supply helps keep a lid on rising prices, and greater American production gives the United States more influence over the global market.",Offshore oil drilling helps stabilize US economy,1,very confident
US offshore oil drilling,"Offshore oil rigs in the western Gulf of Mexico, one of the exceptions to the ban imposed by Congress, endured Hurricane Katrina without spills.",Offshore oil rigs in Gulf of Mexico escaped spills,1,very confident
US offshore oil drilling,"The fundamental problem is this: there is a finite amount of fossil fuel. The more of it we find and burn, the more carbon we put into the atmosphere, and the more severe the greenhouse effect becomes. Once the carbon is in the atmosphere, it stays there. If we want to limit climate change, what we have to do, one way or another, is to leave fuels in the ground wherever possible, not find and burn them.",Offshore oil drilling releases more greenhouse gases,1,very confident
US offshore oil drilling,"Offshore oil rigs in the western Gulf of Mexico, one of the exceptions to the ban imposed by Congress, endured Hurricane Katrina without spills.",Offshore oil rigs survived Katrina without spills,1,very confident
US offshore oil drilling,"These large ships release significant pollution into the oceans, and carry some risk of hitting the shore, and causing a spill.",Transporting offshore oil to shores by ship has environmental costs.,1,very confident
US offshore oil drilling,"These large ships release significant pollution into the oceans, and carry some risk of hitting the shore, and causing a spill.",Large oil spills can be caused by large oil tankers,1,very confident
US offshore oil drilling,"These large ships release significant pollution into the oceans, and carry some risk of hitting the shore, and causing a spill.",Oil drilling releases significant pollutants into the ocean,1,very confident
US offshore oil drilling,"The fundamental problem is this: there is a finite amount of fossil fuel. The more of it we find and burn, the more carbon we put into the atmosphere, and the more severe the greenhouse effect becomes. Once the carbon is in the atmosphere, it stays there. If we want to limit climate change, what we have to do, one way or another, is to leave fuels in the ground wherever possible, not find and burn them.",Withdrawing from Iraq prematurely would be as disastrous as withdrawing from Vietnam,0,very confident
US offshore oil drilling,"The fundamental problem is this: there is a finite amount of fossil fuel. The more of it we find and burn, the more carbon we put into the atmosphere, and the more severe the greenhouse effect becomes. Once the carbon is in the atmosphere, it stays there. If we want to limit climate change, what we have to do, one way or another, is to leave fuels in the ground wherever possible, not find and burn them.",Offshore drilling only adds more C02 to atmosphere,1,very confident
US offshore oil drilling,"These large ships release significant pollution into the oceans, and carry some risk of hitting the shore, and causing a spill.",Need for water does not qualify water as a right.,0,very confident
US offshore oil drilling,"Critics note that the potential supplies offshore are a tiny part of the world market, but even so the Interior Department's estimates range from 39 billion to 62 billion barrels of oil. We use 7 billion barrels a year, so if the oil is really there, it could be five to nine years worth. True, robust production wouldn't kick in for a decade or more. But that same argument helped block action 10 years ago. Domestic gas supplies, meanwhile, are massive and underutilized.",US engagement in Libya has UN/NATO legal authorization.,0,very confident
US-Indian nuclear deal,The United States also stands to benefit from the proposed arrangement. It will enable the United States to sell India nuclear reactors and an array of related equipment.,Multi-track year-round schools often become overcrowded,0,very confident
US-Indian nuclear deal,"In the 1950s, the United States helped India develop nuclear energy under the Atoms for Peace program. The United States built a nuclear reactor for India, provided nuclear fuel for a time, and allowed Indian scientists study at U.S. nuclear laboratories. This long history was interrupted when India tested its first bomb in 1973. While this broke relations with the US, India made it clear that it was, nevertheless, a responsible power.",Non-payment of dues is an infringement of international law:,0,very confident
US-Indian nuclear deal,The United States also stands to benefit from the proposed arrangement. It will enable the United States to sell India nuclear reactors and an array of related equipment.,The US-India nuclear deal will benefit US exports,1,very confident
US-Indian nuclear deal,The United States also stands to benefit from the proposed arrangement. It will enable the United States to sell India nuclear reactors and an array of related equipment.,US-Indian nuclear deal will benefit US industry,1,very confident
US-Indian nuclear deal,"Henry Sokolski, executive director of the Nonproliferation Policy Education Center - ""We are going to be sending, or allowing others to send, fresh fuel to India—including yellowcake and lightly enriched uraniumt—that will free up Indian domestic sources of fuel to be solely dedicated to making many more bombs than they would otherwise have been able to make.",Courtroom rants of terrorists only expose them as hateful fools,0,very confident
US-Indian nuclear deal,"Henry Sokolski, executive director of the Nonproliferation Policy Education Center - ""We are going to be sending, or allowing others to send, fresh fuel to India—including yellowcake and lightly enriched uraniumt—that will free up Indian domestic sources of fuel to be solely dedicated to making many more bombs than they would otherwise have been able to make.",Sending nuclear fuel to India frees its own uranium for more bombs.,1,very confident
US-Indian nuclear deal,"Henry Sokolski, executive director of the Nonproliferation Policy Education Center - ""We are going to be sending, or allowing others to send, fresh fuel to India—including yellowcake and lightly enriched uraniumt—that will free up Indian domestic sources of fuel to be solely dedicated to making many more bombs than they would otherwise have been able to make.",Bombing North Korea frees up Indian resources,0,very confident
US-Indian nuclear deal,"Henry Sokolski, executive director of the Nonproliferation Policy Education Center - ""We are going to be sending, or allowing others to send, fresh fuel to India—including yellowcake and lightly enriched uraniumt—that will free up Indian domestic sources of fuel to be solely dedicated to making many more bombs than they would otherwise have been able to make.",Nuclear arms free India to make more weapons,0,very confident
US-Indian nuclear deal,The United States also stands to benefit from the proposed arrangement. It will enable the United States to sell India nuclear reactors and an array of related equipment.,The US will be able to sell nuclear equipment to India,1,very confident
US-Indian nuclear deal,"We all know that friendly states can also be problem states, as is evident in Pakistan. Yesterday’s friend can become tomorrow’s adversary, and vice versa. Teheran’s nuclear program, for example, dates back to our late friend, the Shah of Iran.",US-Indian relations are strained due to tensions,0,confident
US-Indian nuclear deal,"We all know that friendly states can also be problem states, as is evident in Pakistan. Yesterday’s friend can become tomorrow’s adversary, and vice versa. Teheran’s nuclear program, for example, dates back to our late friend, the Shah of Iran.",Friendly countries can become adversaries,1,very confident
US-Indian nuclear deal,"We all know that friendly states can also be problem states, as is evident in Pakistan. Yesterday’s friend can become tomorrow’s adversary, and vice versa. Teheran’s nuclear program, for example, dates back to our late friend, the Shah of Iran.",Nuclear deal could backfire if India becomes a foe of the US.,1,very confident
US-Indian nuclear deal,"We all know that friendly states can also be problem states, as is evident in Pakistan. Yesterday’s friend can become tomorrow’s adversary, and vice versa. Teheran’s nuclear program, for example, dates back to our late friend, the Shah of Iran.",Offshore oil helps mitigate spikes in oil prices,0,very confident
US-Indian nuclear deal,The deal may also presage Indian access to various forms of high technology from the United States that are currently unavailable because of nuclear-related restrictions.,The nuclear deal will open the door to other technologies,1,very confident
US-Indian nuclear deal,The deal may also presage Indian access to various forms of high technology from the United States that are currently unavailable because of nuclear-related restrictions.,The US-Indian nuclear deal will give India access to US technology,1,very confident
US-Indian nuclear deal,"In the 1950s, the United States helped India develop nuclear energy under the Atoms for Peace program. The United States built a nuclear reactor for India, provided nuclear fuel for a time, and allowed Indian scientists study at U.S. nuclear laboratories. This long history was interrupted when India tested its first bomb in 1973. While this broke relations with the US, India made it clear that it was, nevertheless, a responsible power.",The US has supported India's nuclear program for decades,1,very confident
US-Indian nuclear deal,"Blackwill said, ""Some experts say this apparent U.S. favoritism toward India could increase the nuclear rivalry between the intensely competitive nations, and potentially raise tensions in the already dangerous region. 'My impression is that [the Pakistanis] are worried this will feed the Indian nuclear weapons program and therefore weaken deterrence.' Other experts say the two countries, both admittedly now nuclear, could be forced to deal more cautiously with each other.",US-India nuclear deal heightens India-Pakistan nuclear tensions.,1,confident
US-Indian nuclear deal,The deal may also presage Indian access to various forms of high technology from the United States that are currently unavailable because of nuclear-related restrictions.,US can supply India with high technology that will help it modernize.,1,very confident
US-Indian nuclear deal,The United States and India hold a unique bond in the simple fact that they are the world's two largest democracies. This warrants a special relationship in trading nuclear fuels as well as technology for nuclear energy.,The United States and India have a special relationship,1,very confident
US-Indian nuclear deal,The United States and India hold a unique bond in the simple fact that they are the world's two largest democracies. This warrants a special relationship in trading nuclear fuels as well as technology for nuclear energy.,India and the United States have a special relationship,1,very confident
US-Indian nuclear deal,The United States and India hold a unique bond in the simple fact that they are the world's two largest democracies. This warrants a special relationship in trading nuclear fuels as well as technology for nuclear energy.,India and the United States are important trading partners,1,very confident
US-Indian nuclear deal,The deal may also presage Indian access to various forms of high technology from the United States that are currently unavailable because of nuclear-related restrictions.,Turkey is an important ally in the Middle East,0,very confident
US-Indian nuclear deal,"In the 1950s, the United States helped India develop nuclear energy under the Atoms for Peace program. The United States built a nuclear reactor for India, provided nuclear fuel for a time, and allowed Indian scientists study at U.S. nuclear laboratories. This long history was interrupted when India tested its first bomb in 1973. While this broke relations with the US, India made it clear that it was, nevertheless, a responsible power.",US helped India develop nuclear energy.,1,very confident
US-Indian nuclear deal,"Blackwill said, ""Some experts say this apparent U.S. favoritism toward India could increase the nuclear rivalry between the intensely competitive nations, and potentially raise tensions in the already dangerous region. 'My impression is that [the Pakistanis] are worried this will feed the Indian nuclear weapons program and therefore weaken deterrence.' Other experts say the two countries, both admittedly now nuclear, could be forced to deal more cautiously with each other.","Old memories, old symbols. What's gone, is gone.",0,confident
US-Indian nuclear deal,The United States and India hold a unique bond in the simple fact that they are the world's two largest democracies. This warrants a special relationship in trading nuclear fuels as well as technology for nuclear energy.,Deal's cuts more modest than GOP wanted; easier on econ.,0,very confident
Underground nuclear waste storage,"Charles McCombie, Executive Director of Arius: ""The worst part is the part that we don’t see – the mining and milling of uranium.",Animals do not have rights so can be held in captivity.,0,very confident
Underground nuclear waste storage,"Claes Thegerstroem of Sweden’s Nuclear Fuel and Waste Management group: ""We can never say it is completely safe. If we start to speak like that, sooner or later, people will understand we are not telling the truth. But we can say, of all the options, this is the best option. Everything else is less safe.",Underground nuclear waste storage is the best option,1,very confident
Underground nuclear waste storage,"Claes Thegerstroem of Sweden’s Nuclear Fuel and Waste Management group: ""We can never say it is completely safe. If we start to speak like that, sooner or later, people will understand we are not telling the truth. But we can say, of all the options, this is the best option. Everything else is less safe.",Underground nuclear waste storage is best option,1,very confident
Underground nuclear waste storage,"Claes Thegerstroem of Sweden’s Nuclear Fuel and Waste Management group: ""We can never say it is completely safe. If we start to speak like that, sooner or later, people will understand we are not telling the truth. But we can say, of all the options, this is the best option. Everything else is less safe.",Nuclear power is the safest option,0,confident
Underground nuclear waste storage,"Claes Thegerstroem of Sweden’s Nuclear Fuel and Waste Management group: ""We can never say it is completely safe. If we start to speak like that, sooner or later, people will understand we are not telling the truth. But we can say, of all the options, this is the best option. Everything else is less safe.",Underground nuclear waste storage is safest option,1,very confident
Underground nuclear waste storage,"Claes Thegerstroem of Sweden’s Nuclear Fuel and Waste Management group: ""We can never say it is completely safe. If we start to speak like that, sooner or later, people will understand we are not telling the truth. But we can say, of all the options, this is the best option. Everything else is less safe.",Video games can be played for a flexible period of time.,0,very confident
Underground nuclear waste storage,"Nuclear waste storage is hugely expensive and requires large subsidies for projects like the Yucca Mountain waste repository site, which cost tens of billions of dollars since the 1990s, and yet which did not end up materializing.",Nuclear waste storage costs are too high.,1,very confident
Underground nuclear waste storage,"Nuclear waste storage is hugely expensive and requires large subsidies for projects like the Yucca Mountain waste repository site, which cost tens of billions of dollars since the 1990s, and yet which did not end up materializing.",Nuclear waste storage is too expensive.,1,very confident
Underground nuclear waste storage,"Nuclear waste storage is hugely expensive and requires large subsidies for projects like the Yucca Mountain waste repository site, which cost tens of billions of dollars since the 1990s, and yet which did not end up materializing.",Nuclear waste disposal requires huge subsidies,1,very confident
Underground nuclear waste storage,"Charles McCombie, Executive Director of Arius: ""The worst part is the part that we don’t see – the mining and milling of uranium.",The worst part of uranium mining is hidden,1,very confident
Underground nuclear waste storage,"Charles McCombie, Executive Director of Arius: ""The worst part is the part that we don’t see – the mining and milling of uranium.",Nuclear energy requires harmful mining/milling of uranium.,1,very confident
Underground nuclear waste storage,"Nuclear waste storage is hugely expensive and requires large subsidies for projects like the Yucca Mountain waste repository site, which cost tens of billions of dollars since the 1990s, and yet which did not end up materializing.",Offering rights to animals based on evolution is a slippery slope.,0,very confident
Underground nuclear waste storage,"Nuclear waste storage is hugely expensive and requires large subsidies for projects like the Yucca Mountain waste repository site, which cost tens of billions of dollars since the 1990s, and yet which did not end up materializing.",Nuclear waste storage requires huge state subsidies.,1,very confident
Unilateral US military strike inside Pakistan,We can do that using the leverage of aid to induce democracy.,The United States is capable of provoking a democratic movement in Pakistan,1,very confident
Unilateral US military strike inside Pakistan,We can do that using the leverage of aid to induce democracy.,We have to be on the side of the Pakistani people.,0,very confident
Unilateral US military strike inside Pakistan,We can do that using the leverage of aid to induce democracy.,"The US is subjecting itself to ""imperial overstretch"" in Iraq",0,very confident
Unilateral US military strike inside Pakistan,"While it is true that there is an element of instability in Pakistan, consider Israel. Israel is a country that constantly deals with suicide bombers and terrorists and has long been suspected of having nuclear weapons. It is as ridiculous to say that Israel's weapons will fall into the hands of terrorists as it is to say that Pakistan's weapons will. Both are countries with strong military presence internally and both prioritize internal defense.","Israel has a strong military presence, unlike Pakistan",0,very confident
Unilateral US military strike inside Pakistan,"While it is true that there is an element of instability in Pakistan, consider Israel. Israel is a country that constantly deals with suicide bombers and terrorists and has long been suspected of having nuclear weapons. It is as ridiculous to say that Israel's weapons will fall into the hands of terrorists as it is to say that Pakistan's weapons will. Both are countries with strong military presence internally and both prioritize internal defense.",Israel's nuclear weapons are no threat to Pakistan,0,very confident
Unilateral US military strike inside Pakistan,"The Paksitani people seek a legitimate government that reflects its will. But the U.S. has been aiding Musharaff, a dictator, so on the political front the people's calls for democracy have been stifled to some degree by America. A unilateral U.S. action would add insult to injury in this regard, as it would be a gross violation of Pakistani sovereignty and another blow to the democratic movement of peoples to represent themselves.",Unilateral US strikes would undermine Pakistan's democracy,1,very confident
Unilateral US military strike inside Pakistan,"Pakistan has their own version of the PAL system that the U.S. uses to secure weapons. In fact the Pakistani warheads are most likely safer than the Russian nuclear missiles. Several government officials, and generals have reported from Pakistan firsthand that the weapons are secured.",Pakistan has its own version of the PAL system,1,very confident
Unilateral US military strike inside Pakistan,"Pakistan has their own version of the PAL system that the U.S. uses to secure weapons. In fact the Pakistani warheads are most likely safer than the Russian nuclear missiles. Several government officials, and generals have reported from Pakistan firsthand that the weapons are secured.",Pakistan has a better weapon defense system than Russia.,1,very confident
Unilateral US military strike inside Pakistan,"Pakistan has their own version of the PAL system that the U.S. uses to secure weapons. In fact the Pakistani warheads are most likely safer than the Russian nuclear missiles. Several government officials, and generals have reported from Pakistan firsthand that the weapons are secured.",Nuclear Weapons are safe.,0,very confident
Unilateral US military strike inside Pakistan,"Pakistan has their own version of the PAL system that the U.S. uses to secure weapons. In fact the Pakistani warheads are most likely safer than the Russian nuclear missiles. Several government officials, and generals have reported from Pakistan firsthand that the weapons are secured.","Fuel economy standards reduce emissions, improve air quality.",0,very confident
Unilateral US military strike inside Pakistan,"Get bin Laden in Pakistan unilaterally, if Pakistan can't",US cannot get bin Laden in Pakistan unilaterally,0,confident
Unilateral US military strike inside Pakistan,"Get bin Laden in Pakistan unilaterally, if Pakistan can't",Get bin Laden in Pakistan unilaterally if,0,confident
Unilateral US military strike inside Pakistan,"Get bin Laden in Pakistan unilaterally, if Pakistan can't",New Mexico Governor Bill Richardson,0,very confident
Unilateral US military strike inside Pakistan,"Get bin Laden in Pakistan unilaterally, if Pakistan can't",The US and India have a history of peaceful nuclear relations.,0,very confident
Unilateral US military strike inside Pakistan,"Pakistan has their own version of the PAL system that the U.S. uses to secure weapons. In fact the Pakistani warheads are most likely safer than the Russian nuclear missiles. Several government officials, and generals have reported from Pakistan firsthand that the weapons are secured.",Pakistan has a better nuclear weapon system than Russia,1,confident
Unilateral US military strike inside Pakistan,"While it is true that there is an element of instability in Pakistan, consider Israel. Israel is a country that constantly deals with suicide bombers and terrorists and has long been suspected of having nuclear weapons. It is as ridiculous to say that Israel's weapons will fall into the hands of terrorists as it is to say that Pakistan's weapons will. Both are countries with strong military presence internally and both prioritize internal defense.",The US Senate protects the interests of small states.,0,very confident
Unilateral US military strike inside Pakistan,"The Paksitani people seek a legitimate government that reflects its will. But the U.S. has been aiding Musharaff, a dictator, so on the political front the people's calls for democracy have been stifled to some degree by America. A unilateral U.S. action would add insult to injury in this regard, as it would be a gross violation of Pakistani sovereignty and another blow to the democratic movement of peoples to represent themselves.",A unilateral US strike would violate the Pakistani movement to sovereign democracy.,1,very confident
Unilateral US military strike inside Pakistan,"The Paksitani people seek a legitimate government that reflects its will. But the U.S. has been aiding Musharaff, a dictator, so on the political front the people's calls for democracy have been stifled to some degree by America. A unilateral U.S. action would add insult to injury in this regard, as it would be a gross violation of Pakistani sovereignty and another blow to the democratic movement of peoples to represent themselves.",Wind energy survives because it is heavily subsidized,0,very confident
Unilateral US military strike inside Pakistan,"The Paksitani people seek a legitimate government that reflects its will. But the U.S. has been aiding Musharaff, a dictator, so on the political front the people's calls for democracy have been stifled to some degree by America. A unilateral U.S. action would add insult to injury in this regard, as it would be a gross violation of Pakistani sovereignty and another blow to the democratic movement of peoples to represent themselves.",A unilateral strike would undermine Pakistan's democratic will,1,very confident
United Nations No Growth Budgets,"Circumstances can change rapidly. In one year there might be a significant need for peacekeeping, while in another, the need might be less pronounced.",No growth budgets cannot keep up with changing needs,0,confident
United Nations No Growth Budgets,"Circumstances can change rapidly. In one year there might be a significant need for peacekeeping, while in another, the need might be less pronounced.",Trade provides developing countries with an important basis for their own improvement.,0,confident
United Nations No Growth Budgets,Pressures like inflation affect the UN as much as they impact the consumer in the streets of New York. Inflation has meant a real-terms decrease in the UN budget—not a level budget. It is not realistic to assume that the same level of funding as six or more years ago is truly adequate for today or tomorrow.,Inflation threatens the UN budget,1,very confident
United Nations No Growth Budgets,Pressures like inflation affect the UN as much as they impact the consumer in the streets of New York. Inflation has meant a real-terms decrease in the UN budget—not a level budget. It is not realistic to assume that the same level of funding as six or more years ago is truly adequate for today or tomorrow.,"Inflation has pressured UN budgets, reducing them",1,very confident
United Nations No Growth Budgets,Pressures like inflation affect the UN as much as they impact the consumer in the streets of New York. Inflation has meant a real-terms decrease in the UN budget—not a level budget. It is not realistic to assume that the same level of funding as six or more years ago is truly adequate for today or tomorrow.,"Inflation pressures reduce the real ""purchasing power"" of a no-growth budget:",1,confident
United Nations No Growth Budgets,Pressures like inflation affect the UN as much as they impact the consumer in the streets of New York. Inflation has meant a real-terms decrease in the UN budget—not a level budget. It is not realistic to assume that the same level of funding as six or more years ago is truly adequate for today or tomorrow.,No economies of scale for wave energy; prices will be high.,0,very confident
United Nations No Growth Budgets,"America has the potential to shape developments in the world for good through its involvement in the UN. However, the UN is a representative body, and at times in its history smaller non-aligned states (with notably minimal contributions to the UN budgetary pie) have been able to trample on policies the United States feels are in its and the world’s best interests. A passive approach by the United States to issues of reform would not serve the interests of either party.",US has no interest in UN; it is a neutral force,0,very confident
United Nations No Growth Budgets,"America has the potential to shape developments in the world for good through its involvement in the UN. However, the UN is a representative body, and at times in its history smaller non-aligned states (with notably minimal contributions to the UN budgetary pie) have been able to trample on policies the United States feels are in its and the world’s best interests. A passive approach by the United States to issues of reform would not serve the interests of either party.",The United States should not be passive at the UN,1,very confident
United Nations No Growth Budgets,"America has the potential to shape developments in the world for good through its involvement in the UN. However, the UN is a representative body, and at times in its history smaller non-aligned states (with notably minimal contributions to the UN budgetary pie) have been able to trample on policies the United States feels are in its and the world’s best interests. A passive approach by the United States to issues of reform would not serve the interests of either party.","Wind energy relies on subsidies, but just like other energy sources",0,very confident
United Nations Standing Army,"Essentially only governments have standing armies, so this plan would inevitably make the UN more like a world government – and one which is not democratic and where a totalitarian state has veto power over key decision-making. This means a standing army may actually be counter-productive, impairing current perceptions of the UN’s selfless neutrality, undermining its moral authority and its ability to broker peace agreements.",Withdrawing from Iraq would destroy the Iraqi state,0,very confident
United Nations Standing Army,"especially if it were to include purchase of air and sea transport to reach theatres of operation, added to the high costs of permanent establishment and training, and equipping the force for every possible type of terrain. At present the UN can draw upon different kind of troops for different kinds of missions from whatever member states feel best equipped to deal with a particular situation.","UN should not build standing armies,",1,very confident
United Nations Standing Army,"especially if it were to include purchase of air and sea transport to reach theatres of operation, added to the high costs of permanent establishment and training, and equipping the force for every possible type of terrain. At present the UN can draw upon different kind of troops for different kinds of missions from whatever member states feel best equipped to deal with a particular situation.",The War on Drugs is not working,0,very confident
United Nations Standing Army,"Essentially only governments have standing armies, so this plan would inevitably make the UN more like a world government – and one which is not democratic and where a totalitarian state has veto power over key decision-making. This means a standing army may actually be counter-productive, impairing current perceptions of the UN’s selfless neutrality, undermining its moral authority and its ability to broker peace agreements.",Standing armies undermine the legitimacy of the UN,1,very confident
United Nations Standing Army,"without involving the creation of a standing army they will not address the central problems of peacekeeping. Proposals for a rapid reaction force may speed up the arrival of troops a little, but it will still make the UN dependent upon the goodwill of member states; if they choose not to participate in a particular mission, then the usual long delays and inadequate forces will result.","Unless a UN standing army is created, it will never work.",0,confident
United Nations Standing Army,"without involving the creation of a standing army they will not address the central problems of peacekeeping. Proposals for a rapid reaction force may speed up the arrival of troops a little, but it will still make the UN dependent upon the goodwill of member states; if they choose not to participate in a particular mission, then the usual long delays and inadequate forces will result.","Although other reforms of the UN may be desirable in their own right,",0,confident
United Nations Standing Army,"without involving the creation of a standing army they will not address the central problems of peacekeeping. Proposals for a rapid reaction force may speed up the arrival of troops a little, but it will still make the UN dependent upon the goodwill of member states; if they choose not to participate in a particular mission, then the usual long delays and inadequate forces will result.",FISA authorized the president to conduct wartime electronic surveillance without warrants.,0,very confident
United Nations Standing Army,"Essentially only governments have standing armies, so this plan would inevitably make the UN more like a world government – and one which is not democratic and where a totalitarian state has veto power over key decision-making. This means a standing army may actually be counter-productive, impairing current perceptions of the UN’s selfless neutrality, undermining its moral authority and its ability to broker peace agreements.",UN should not have a standing army; it would be counterproductive,1,very confident
United Nations Standing Army,"and so more likely to be respected as a neutral peacemaker and peacekeeper; contrast this to the perceived differences in attitude between troops from Britain, the US, Russia and France to warring sides in the Balkans. It would also be free of accusations of meddling and self-interest that accompany the participation of troops from neighbouring states in UN interventions (for example, Nigeria in West African missions).",Americans oppose terrorism trials in civilian courts,0,very confident
United Nations Standing Army,"and so more likely to be respected as a neutral peacemaker and peacekeeper; contrast this to the perceived differences in attitude between troops from Britain, the US, Russia and France to warring sides in the Balkans. It would also be free of accusations of meddling and self-interest that accompany the participation of troops from neighbouring states in UN interventions (for example, Nigeria in West African missions).",Standing Army is more neutral than other forces,1,very confident
United Nations Standing Army,Maintenance of a standing army involves taxing and imposing on member states. The United Nations' chartered mission statement has no mention of the United Nations having the right to do this.,US-India nuclear deal could cause Pakistan to seek similar deal elsewhere.,0,very confident
United Nations Standing Army,Maintenance of a standing army involves taxing and imposing on member states. The United Nations' chartered mission statement has no mention of the United Nations having the right to do this.,The UN has no right to maintain a standing army,1,very confident
United Nations Standing Army,Maintenance of a standing army involves taxing and imposing on member states. The United Nations' chartered mission statement has no mention of the United Nations having the right to do this.,Maintaining a standing army involves taxing and imposing states,1,very confident
United Nations Standing Army,"A reform in the system of UN military missions is necessary. The peacekeeping forces in the status quo take too long to activate, and are often short of expectations. They rely too much on each country's individual situation and promises, which makes the system unstable. This has led to failures in Central Africa, Bosnia, Sierra Leone and Somalia. A UN standing army would be permanently available, stable, and have quick reactions to crises, which will lead to quick solvency.",Summer youth programs suffer from year-round schooling.,0,very confident
United Nations Standing Army,"A reform in the system of UN military missions is necessary. The peacekeeping forces in the status quo take too long to activate, and are often short of expectations. They rely too much on each country's individual situation and promises, which makes the system unstable. This has led to failures in Central Africa, Bosnia, Sierra Leone and Somalia. A UN standing army would be permanently available, stable, and have quick reactions to crises, which will lead to quick solvency.",The current peacekeeping forces are not enough.,1,very confident
United Nations Standing Army,"A reform in the system of UN military missions is necessary. The peacekeeping forces in the status quo take too long to activate, and are often short of expectations. They rely too much on each country's individual situation and promises, which makes the system unstable. This has led to failures in Central Africa, Bosnia, Sierra Leone and Somalia. A UN standing army would be permanently available, stable, and have quick reactions to crises, which will lead to quick solvency.",UN peacekeeping forces are often too ineffective,1,very confident
